Category,Item,Count
Libraries,numpy,218
Libraries,pandas,192
Libraries,os,190
Libraries,matplotlib,177
Libraries,cv2,154
Libraries,tensorflow,143
Libraries,train_test_split,140
Libraries,random,129
Libraries,model,125
Libraries,glob,125
Libraries,tqdm,94
Libraries,input,88
Libraries,imagedatagenerator,87
Libraries,adam,83
Libraries,backend,76
Libraries,earlystopping,72
Libraries,imread,64
Libraries,resize,63
Libraries,seaborn,63
Libraries,rgb2gray,59
Libraries,itertools,57
Libraries,label,56
Libraries,torch,52
Libraries,time,47
Libraries,pil,46
Libraries,warnings,40
Libraries,dataset,39
Libraries,layers,38
Libraries,skimage,37
Libraries,conv2d,30
Libraries,plotly,26
Libraries,torchvision,25
Libraries,albumentations,25
Libraries,reducelronplateau,24
Libraries,sequential,24
Libraries,modelcheckpoint,23
Libraries,keras,22
Libraries,plot_model,22
Libraries,pathlib,21
Libraries,imagegrid,20
Libraries,display,20
Libraries,standardscaler,19
Libraries,system,18
Libraries,data,18
Libraries,deep,18
Libraries,glorot_uniform,18
Libraries,accuracy_score,16
Libraries,zipfile,15
Libraries,dataloader,14
Libraries,resnet50,14
Libraries,sys,13
Libraries,totensor,12
Libraries,binary_crossentropy,12
Libraries,image,11
Libraries,kfold,11
Libraries,confusion_matrix,9
Libraries,vgg16,9
Libraries,collections,8
Libraries,pickle,8
Libraries,segmentation_models_pytorch,8
Libraries,classification_report,8
Libraries,segmentation_models,8
Libraries,totensorv2,7
Libraries,resnext50_32x4d,6
Libraries,compose,5
Libraries,math,5
Libraries,models,5
Libraries,simpleimputer,5
Libraries,binary_dilation,5
Libraries,preprocess_input,5
Libraries,shutil,5
Libraries,rescale_intensity,4
Libraries,figurecanvasagg,4
Libraries,utils,4
Libraries,summarywriter,4
Libraries,unet,4
Libraries,json,4
Libraries,activation,4
Libraries,upsampling2d,4
Libraries,gc,4
Libraries,preprocessing,4
Libraries,ipywidgets,4
Libraries,mobilenetv2,4
Libraries,typing,3
Libraries,vgg19,3
Libraries,relu,3
Libraries,functional,3
Libraries,maxpooling2d,3
Libraries,concatenate,3
Libraries,dropout,3
Libraries,meaniou,3
Libraries,globalaveragepooling2d,3
Libraries,set_trainable,3
Libraries,convolution2d,3
Libraries,trange,3
Libraries,ultralytics,3
Libraries,optimizers,3
Libraries,datasets,2
Libraries,io,2
Libraries,transformers,2
Libraries,statistics,2
Libraries,layer,2
Libraries,largest_connected_component,2
Libraries,dataclasses,2
Libraries,unet_plus_plus,2
Libraries,batchnormalization,2
Libraries,add,2
Libraries,conv2dtranspose,2
Libraries,clear_output,2
Libraries,fastbook,2
Libraries,load_model,2
Libraries,make_grid,2
Libraries,shuffle,2
Libraries,normalize,2
Libraries,plot_confusion_matrix,2
Libraries,pix2pix,2
Libraries,maxpool2d,2
Libraries,requests,2
Libraries,tifffile,2
Libraries,module,2
Libraries,convtranspose2d,2
Libraries,video,2
Libraries,sequence,2
Libraries,recall,2
Libraries,pprint,2
Libraries,copy,2
Libraries,torchinfo,1
Libraries,torchview,1
Libraries,monai,1
Libraries,threshold,1
Libraries,compute_iou,1
Libraries,multiprocessing,1
Libraries,functools,1
Libraries,rescale,1
Libraries,lion_pytorch,1
Libraries,loss,1
Libraries,logger,1
Libraries,transform,1
Libraries,imsave,1
Libraries,multiply,1
Libraries,lambda,1
Libraries,stochasticdepth,1
Libraries,einops,1
Libraries,densenet121,1
Libraries,dense,1
Libraries,show,1
Libraries,rasterio,1
Libraries,fastai,1
Libraries,v2,1
Libraries,customobjectscope,1
Libraries,callbacks,1
Libraries,labelencoder,1
Libraries,simpleitk,1
Libraries,gdown,1
Libraries,progbar,1
Libraries,learningratescheduler,1
Libraries,bayes_opt,1
Libraries,averagepooling2d,1
Libraries,cross_val_score,1
Libraries,accuracy,1
Libraries,make_subplots,1
Libraries,leakyrelu,1
Libraries,baseestimator,1
Libraries,gridsearchcv,1
Libraries,load_img,1
Libraries,real,1
Libraries,binarycrossentropy,1
Libraries,skopt,1
Libraries,to_categorical,1
Libraries,necessary,1
Libraries,sobel,1
Libraries,logging,1
Libraries,sklearn,1
Libraries,kmeans,1
Libraries,tensorflow_datasets,1
Libraries,minmaxscaler,1
Libraries,tensorflow_io,1
Libraries,precision_score,1
Libraries,map_coordinates,1
